,States,Daily cases,Cumulative,date
4,Negeri Sembilan,102,9109,2021-01-11
5,Pulau Pinang,112,5057,2021-01-11
2,Wp Kuala Lumpur,204,16173,2021-01-11
14,Wp Putrajaya,13,420,2021-01-11
10,Melaka,37,1620,2021-01-11
11,Sarawak,153,1428,2021-01-11
12,Kelantan,95,1393,2021-01-11
13,Terengganu,41,525,2021-01-11
15,Perlis,3,66,2021-01-11
9,Pahang,46,1655,2021-01-11
8,Wp Labuan,8,1806,2021-01-11
4,Negeri Sembilan,85,9194,2021-01-12
3,Johor,442,10761,2021-01-12
5,Pulau Pinang,317,5374,2021-01-12
1,Selangor,1007,41291,2021-01-12
0,Sabah,409,41449,2021-01-12
6,Perak,241,3979,2021-01-12
2,Wp Kuala Lumpur,326,16499,2021-01-12
15,Perlis,0,66,2021-01-12
8,Wp Labuan,15,1821,2021-01-12
13,Terengganu,20,545,2021-01-12
9,Pahang,96,1751,2021-01-12
7,Kedah,62,3653,2021-01-12
14,Wp Putrajaya,36,456,2021-01-12
10,Melaka,21,1641,2021-01-12
12,Kelantan,86,1479,2021-01-12
11,Sarawak,146,1574,2021-01-12
7,Kedah,97,3750,2021-01-13
5,Pulau Pinang,105,5479,2021-01-13
1,Sabah,450,41899,2021-01-13
2,Wp Kuala Lumpur,289,16788,2021-01-13
3,Johor,535,11296,2021-01-13
4,Negeri Sembilan,106,9300,2021-01-13
6,Perak,61,4040,2021-01-13
0,Selangor,837,42128,2021-01-13
8,Pahang,143,1894,2021-01-13
9,Wp Labuan,0,1821,2021-01-13
10,Sarawak,166,1740,2021-01-13
11,Melaka,72,1713,2021-01-13
12,Kelantan,85,1564,2021-01-13
14,Wp Putrajaya,11,467,2021-01-13
15,Perlis,1,67,2021-01-13
13,Terengganu,27,572,2021-01-13
7,Kedah,86,3836,2021-01-14
0,Selangor,1036,43164,2021-01-14
1,Sabah,389,42288,2021-01-14
2,Wp Kuala Lumpur,257,17045,2021-01-14
3,Johor,460,11756,2021-01-14
5,Pulau Pinang,234,5713,2021-01-14
6,Perak,92,4132,2021-01-14
4,Negeri Sembilan,169,9469,2021-01-14
11,Melaka,85,1798,2021-01-14
9,Sarawak,180,1920,2021-01-14
10,Wp Labuan,34,1855,2021-01-14
12,Kelantan,85,1649,2021-01-14
13,Terengganu,89,661,2021-01-14
14,Wp Putrajaya,24,491,2021-01-14
15,Perlis,4,71,2021-01-14
8,Pahang,113,2007,2021-01-14
4,Negeri Sembilan,70,9539,2021-01-15
3,Johor,535,12291,2021-01-15
5,Pulau Pinang,194,5907,2021-01-15
1,Sabah,514,42802,2021-01-15
0,Selangor,889,44053,2021-01-15
6,Perak,74,4206,2021-01-15
2,Wp Kuala Lumpur,401,17446,2021-01-15
15,Perlis,0,71,2021-01-15
8,Pahang,70,2077,2021-01-15
13,Terengganu,92,753,2021-01-15
9,Sarawak,60,1980,2021-01-15
7,Kedah,142,3978,2021-01-15
14,Wp Putrajaya,24,515,2021-01-15
10,Wp Labuan,9,1864,2021-01-15
12,Kelantan,79,1728,2021-01-15
11,Melaka,58,1856,2021-01-15
5,Pulau Pinang,120,6027,2021-01-16
0,Selangor,1466,45519,2021-01-16
1,Sabah,449,43251,2021-01-16
2,Wp Kuala Lumpur,347,17793,2021-01-16
3,Johor,719,13010,2021-01-16
4,Negeri Sembilan,214,9753,2021-01-16
6,Perak,54,4260,2021-01-16
7,Kedah,195,4173,2021-01-16
8,Pahang,65,2142,2021-01-16
9,Sarawak,69,2049,2021-01-16
10,Melaka,44,1900,2021-01-16
11,Wp Labuan,17,1881,2021-01-16
12,Kelantan,141,1869,2021-01-16
13,Terengganu,80,833,2021-01-16
14,Wp Putrajaya,35,550,2021-01-16
15,Perlis,14,85,2021-01-16
6,Perak,107,4367,2021-01-17
0,Selangor,1314,46833,2021-01-17
1,Sabah,393,43644,2021-01-17
2,Wp Kuala Lumpur,334,18127,2021-01-17
3,Johor,362,13372,2021-01-17
4,Negeri Sembilan,236,9989,2021-01-17
5,Pulau Pinang,120,6147,2021-01-17
7,Kedah,96,4269,2021-01-17
8,Pahang,61,2203,2021-01-17
10,Kelantan,114,1983,2021-01-17
11,Melaka,60,1960,2021-01-17
12,Wp Labuan,22,1903,2021-01-17
13,Terengganu,22,855,2021-01-17
14,Wp Putrajaya,23,573,2021-01-17
15,Perlis,13,98,2021-01-17
9,Sarawak,62,2111,2021-01-17
4,Negeri Sembilan,126,10115,2021-01-18
15,Perlis,16,114,2021-01-18
0,Selangor,1213,48046,2021-01-18
1,Sabah,432,44076,2021-01-18
2,Wp Kuala Lumpur,250,18377,2021-01-18
3,Johor,329,13701,2021-01-18
5,Pulau Pinang,145,6292,2021-01-18
6,Perak,114,4481,2021-01-18
9,Sarawak,100,2211,2021-01-18
11,Melaka,156,2116,2021-01-18
12,Wp Labuan,14,1917,2021-01-18
13,Terengganu,20,875,2021-01-18
14,Wp Putrajaya,15,588,2021-01-18
7,Kedah,142,4411,2021-01-18
10,Kelantan,150,2133,2021-01-18
8,Pahang,84,2287,2021-01-18
7,Kedah,114,4525,2021-01-19
5,Pulau Pinang,124,6416,2021-01-19
1,Sabah,526,44602,2021-01-19
2,Wp Kuala Lumpur,521,18898,2021-01-19
3,Johor,368,14069,2021-01-19
4,Negeri Sembilan,139,10254,2021-01-19
6,Perak,135,4616,2021-01-19
0,Selangor,1199,49245,2021-01-19
8,Sarawak,156,2367,2021-01-19
9,Pahang,31,2318,2021-01-19
10,Kelantan,133,2266,2021-01-19
11,Melaka,122,2238,2021-01-19
12,Wp Labuan,1,1918,2021-01-19
14,Wp Putrajaya,26,614,2021-01-19
15,Perlis,3,117,2021-01-19
13,Terengganu,33,908,2021-01-19
7,Kedah,142,4667,2021-01-20
0,Selangor,1391,50636,2021-01-20
1,Sabah,406,45008,2021-01-20
2,Wp Kuala Lumpur,513,19411,2021-01-20
3,Johor,470,14539,2021-01-20
4,Negeri Sembilan,176,10430,2021-01-20
6,Perak,170,4786,2021-01-20
5,Pulau Pinang,124,6540,2021-01-20
10,Pahang,52,2370,2021-01-20
9,Kelantan,121,2387,2021-01-20
11,Melaka,132,2370,2021-01-20
12,Wp Labuan,1,1919,2021-01-20
13,Terengganu,81,989,2021-01-20
14,Wp Putrajaya,23,637,2021-01-20
15,Perlis,3,120,2021-01-20
8,Sarawak,203,2570,2021-01-20
0,Selangor,545,51181,2021-01-21
5,Pulau Pinang,171,6711,2021-01-21
1,Sabah,401,45409,2021-01-21
15,Perlis,8,128,2021-01-21
3,Johor,423,14962,2021-01-21
4,Negeri Sembilan,102,10532,2021-01-21
6,Perak,245,5031,2021-01-21
2,Wp Kuala Lumpur,576,19987,2021-01-21
7,Kedah,156,4823,2021-01-21
14,Wp Putrajaya,33,670,2021-01-21
10,Melaka,106,2476,2021-01-21
9,Kelantan,135,2522,2021-01-21
12,Wp Labuan,32,1951,2021-01-21
8,Sarawak,132,2702,2021-01-21
13,Terengganu,57,1046,2021-01-21
11,Pahang,48,2418,2021-01-21
15,Perlis,13,141,2021-01-22
5,Pulau Pinang,202,6913,2021-01-22
0,Selangor,782,51963,2021-01-22
1,Sabah,453,45862,2021-01-22
2,Wp Kuala Lumpur,435,20422,2021-01-22
4,Negeri Sembilan,197,10729,2021-01-22
6,Perak,138,5169,2021-01-22
3,Johor,466,15428,2021-01-22
8,Sarawak,229,2931,2021-01-22
9,Kelantan,161,2683,2021-01-22
11,Pahang,61,2479,2021-01-22
12,Wp Labuan,29,1980,2021-01-22
13,Terengganu,178,1224,2021-01-22
14,Wp Putrajaya,39,709,2021-01-22
7,Kedah,166,4989,2021-01-22
10,Melaka,82,2558,2021-01-22
6,Perak,208,5377,2021-01-23
0,Selangor,1421,53384,2021-01-23
7,Kedah,105,5094,2021-01-23
2,Wp Kuala Lumpur,548,20970,2021-01-23
3,Johor,425,15853,2021-01-23
4,Negeri Sembilan,108,10837,2021-01-23
5,Pulau Pinang,162,7075,2021-01-23
1,Sabah,498,46360,2021-01-23
14,Wp Putrajaya,35,744,2021-01-23
10,Kelantan,78,2761,2021-01-23
11,Pahang,75,2554,2021-01-23
12,Wp Labuan,3,1983,2021-01-23
13,Terengganu,131,1355,2021-01-23
15,Perlis,7,148,2021-01-23
9,Melaka,278,2836,2021-01-23
8,Sarawak,193,3124,2021-01-23
3,Johor,378,16231,2021-01-24
5,Pulau Pinang,90,7165,2021-01-24
4,Negeri Sembilan,160,10997,2021-01-24
15,Perlis,3,151,2021-01-24
2,Wp Kuala Lumpur,390,21360,2021-01-24
1,Sabah,431,46791,2021-01-24
6,Perak,46,5423,2021-01-24
0,Selangor,950,54334,2021-01-24
8,Sarawak,255,3379,2021-01-24
7,Kedah,85,5179,2021-01-24
14,Wp Putrajaya,38,782,2021-01-24
13,Terengganu,179,1534,2021-01-24
9,Melaka,152,2988,2021-01-24
11,Pahang,63,2617,2021-01-24
10,Kelantan,77,2838,2021-01-24
12,Wp Labuan,49,2032,2021-01-24
5,Pulau Pinang,110,7275,2021-01-25
0,Selangor,1035,55369,2021-01-25
1,Sabah,348,47139,2021-01-25
2,Wp Kuala Lumpur,305,21665,2021-01-25
3,Johor,529,16760,2021-01-25
4,Negeri Sembilan,95,11092,2021-01-25
6,Perak,103,5526,2021-01-25
7,Kedah,74,5253,2021-01-25
8,Sarawak,120,3499,2021-01-25
9,Melaka,90,3078,2021-01-25
10,Kelantan,89,2927,2021-01-25
11,Pahang,46,2663,2021-01-25
12,Wp Labuan,0,2032,2021-01-25
13,Terengganu,79,1613,2021-01-25
14,Wp Putrajaya,22,804,2021-01-25
15,Perlis,3,154,2021-01-25
1,Sabah,303,47442,2021-01-26
6,Perak,58,5584,2021-01-26
0,Selangor,1295,56664,2021-01-26
2,Wp Kuala Lumpur,610,22275,2021-01-26
3,Johor,516,17276,2021-01-26
4,Negeri Sembilan,129,11221,2021-01-26
5,Pulau Pinang,104,7379,2021-01-26
7,Kedah,88,5341,2021-01-26
8,Sarawak,205,3704,2021-01-26
10,Kelantan,76,3003,2021-01-26
11,Pahang,15,2678,2021-01-26
12,Wp Labuan,1,2033,2021-01-26
13,Terengganu,76,1689,2021-01-26
15,Perlis,2,156,2021-01-26
9,Melaka,92,3170,2021-01-26
14,Wp Putrajaya,15,819,2021-01-26
3,Johor,1069,18345,2021-01-27
0,Selangor,822,57486,2021-01-27
5,Pulau Pinang,101,7480,2021-01-27
4,Negeri Sembilan,112,11333,2021-01-27
15,Perlis,3,159,2021-01-27
2,Wp Kuala Lumpur,698,22973,2021-01-27
1,Sabah,295,47737,2021-01-27
6,Perak,181,5765,2021-01-27
10,Kelantan,60,3063,2021-01-27
7,Kedah,76,5417,2021-01-27
9,Melaka,63,3233,2021-01-27
14,Wp Putrajaya,19,838,2021-01-27
8,Sarawak,70,3774,2021-01-27
12,Wp Labuan,1,2034,2021-01-27
11,Pahang,42,2720,2021-01-27
13,Terengganu,68,1757,2021-01-27
5,Pulau Pinang,99,7579,2021-01-28
0,Selangor,1577,59063,2021-01-28
1,Sabah,282,48019,2021-01-28
2,Wp Kuala Lumpur,678,23651,2021-01-28
3,Johor,717,19062,2021-01-28
4,Negeri Sembilan,48,11381,2021-01-28
6,Perak,94,5859,2021-01-28
15,Perlis,9,168,2021-01-28
